predmet,smjer,ciklus,semestar,P,LV,AV,tip
Aktuarska matematika,Primijenjena matematika,Bachelor,5,2,0,2,Obavezni
Algebarski računarski paketi,Nastavnički smjer (matematika),Bachelor,3,2,2,0,Obavezni
Algebarski računarski paketi,Opći smjer,Bachelor,3,2,2,0,Obavezni
Algebarski računarski paketi,Primijenjena matematika,Bachelor,3,2,2,0,Obavezni
Algebra I,Nastavnički smjer (matematika I informatika),Bachelor,5,3,0,3,Obavezni
Algebra I,Nastavnički smjer (matematika),Bachelor,5,3,0,3,Obavezni
Algebra I,Opći smjer,Bachelor,5,3,0,3,Obavezni
Algebra I,Primijenjena matematika,Bachelor,5,3,0,3,Obavezni
Algebra II,Nastavnički smjer (matematika I informatika),Bachelor,6,3,0,3,Obavezni
Algebra II,Nastavnički smjer (matematika),Bachelor,6,3,0,3,Obavezni
Algebra II,Opći smjer,Bachelor,6,3,0,3,Obavezni
Algebra za kompjuterske nauke,Kompjuterske nauke,Bachelor,4,3,0,2,Obavezni
Analitička geometrija,Kompjuterske nauke,Bachelor,2,2,0,2,Obavezni
Analitička geometrija,Nastavnički smjer (matematika I informatika),Bachelor,2,2,0,2,Obavezni
Analitička geometrija,Nastavnički smjer (matematika),Bachelor,2,2,0,2,Obavezni
Analitička geometrija,Opći smjer,Bachelor,2,2,0,2,Obavezni
Analitička geometrija,Primijenjena matematika,Bachelor,2,2,0,2,Obavezni
Analiza I,Kompjuterske nauke,Bachelor,1,4,0,4,Obavezni
Analiza I,Nastavnički smjer (matematika I informatika),Bachelor,1,4,0,4,Obavezni
Analiza I,Nastavnički smjer (matematika),Bachelor,1,4,0,4,Obavezni
Analiza I,Opći smjer,Bachelor,1,4,0,4,Obavezni
Analiza I,Primijenjena matematika,Bachelor,1,4,0,4,Obavezni
Analiza II,Kompjuterske nauke,Bachelor,2,4,0,4,Obavezni
Analiza II,Nastavnički smjer (matematika I informatika),Bachelor,2,4,0,4,Obavezni
Analiza II,Nastavnički smjer (matematika),Bachelor,2,4,0,4,Obavezni
Analiza II,Opći smjer,Bachelor,2,4,0,4,Obavezni
Analiza II,Primijenjena matematika,Bachelor,2,4,0,4,Obavezni
Analiza III,Nastavnički smjer (matematika I informatika),Bachelor,3,4,0,3,Obavezni
Analiza III,Nastavnički smjer (matematika),Bachelor,3,4,0,3,Obavezni
Analiza III,Opći smjer,Bachelor,3,4,0,3,Obavezni
Analiza III,Primijenjena matematika,Bachelor,3,4,0,3,Obavezni
Analiza i sinteza algoritama,Kompjuterske nauke,Bachelor,5,3,2,0,Obavezni
Baze podataka,Kompjuterske nauke,Bachelor,5,3,0,2,Obavezni
Baze podataka,Nastavnički smjer (matematika I informatika),Bachelor,5,3,0,2,Obavezni
Baze podataka,Opći smjer,Bachelor,5,3,0,2,Izborni
Baze podataka,Primijenjena matematika,Bachelor,5,3,0,2,Obavezni
Baze podataka,Nastavnički smjer (matematika),Master,1,3,0,2,Izborni
Didaktika,Nastavnički smjer (matematika I informatika),Bachelor,4,2,0,1,Obavezni
Didaktika,Nastavnički smjer (matematika),Bachelor,4,2,0,1,Obavezni
Diferencijalne jednadžbe,Kompjuterske nauke,Bachelor,3,3,0,2,Obavezni
Diferencijalne jednadžbe,Nastavnički smjer (matematika I informatika),Bachelor,3,3,0,2,Obavezni
Diferencijalne jednadžbe,Nastavnički smjer (matematika),Bachelor,3,3,0,2,Obavezni
Diferencijalne jednadžbe,Opći smjer,Bachelor,3,3,0,2,Obavezni
Diferencijalne jednadžbe,Primijenjena matematika,Bachelor,3,3,0,2,Obavezni
Diferentne jednadžbe i diskretni dinamički sistemi,Primijenjena matematika,Master,1,3,0,2,Obavezni
Diferentne jednadžbe i diskretni dinamički sistemi,Nastavnički smjer (matematika I informatika),Master,3,3,0,2,Izborni
Diferentne jednadžbe i diskretni dinamički sistemi,Nastavnički smjer (matematika),Master,3,3,0,2,Izborni
Dinamički web sistemi,Kompjuterske nauke,Bachelor,6,2,2,0,Obavezni
Dinamički web sistemi,Nastavnički smjer (matematika I informatika),Bachelor,6,2,2,0,Obavezni
Dokimologija,Nastavnički smjer (matematika I informatika),Bachelor,5,2,0,0,Obavezni
Dokimologija,Nastavnički smjer (matematika),Bachelor,5,2,0,0,Obavezni
Elementarna matematika,Kompjuterske nauke,Bachelor,1,2,0,2,Obavezni
Elementarna matematika,Nastavnički smjer (matematika I informatika),Bachelor,1,2,0,2,Obavezni
Elementarna matematika,Nastavnički smjer (matematika),Bachelor,1,2,0,2,Obavezni
Elementarna matematika,Opći smjer,Bachelor,1,2,0,2,Obavezni
Elementarna matematika,Primijenjena matematika,Bachelor,1,2,0,2,Obavezni
Elementarna teorija brojeva,Kompjuterske nauke,Bachelor,2,2,0,2,Obavezni
Elementarna teorija brojeva,Nastavnički smjer (matematika I informatika),Bachelor,2,2,0,2,Obavezni
Elementarna teorija brojeva,Nastavnički smjer (matematika),Bachelor,2,2,0,2,Obavezni
Elementarna teorija brojeva,Opći smjer,Bachelor,2,2,0,2,Obavezni
Elementarna teorija brojeva,Primijenjena matematika,Bachelor,2,2,0,2,Obavezni
Finansijska matematika,Primijenjena matematika,Bachelor,4,2,0,2,Obavezni
Fourierova transformacija i waveleti,Primijenjena matematika,Master,1,3,0,2,Obavezni
Fourierova transformacija i waveleti,Nastavnički smjer (matematika I informatika),Master,3,3,0,2,Izborni
Fourierova transformacija i waveleti,Nastavnički smjer (matematika),Master,3,3,0,2,Izborni
Funkcionalna analiza,Opći smjer,Master,2,3,0,2,Izborni
Funkcionalna analiza,Primijenjena matematika,Master,2,3,0,2,Obavezni
Geometrija I,Nastavnički smjer (matematika I informatika),Bachelor,4,3,0,2,Obavezni
Geometrija I,Nastavnički smjer (matematika),Bachelor,4,3,0,2,Obavezni
Geometrija I,Opći smjer,Bachelor,4,3,0,2,Obavezni
Geometrija I,Primijenjena matematika,Bachelor,4,3,0,2,Izborni
Geometrija II,Nastavnički smjer (matematika),Bachelor,5,2,0,2,Obavezni
Geometrija II,Opći smjer,Bachelor,5,2,0,2,Obavezni
Geometrija II,Nastavnički smjer (matematika I informatika),Master,1,2,0,2,Obavezni
Historija matematike,Opći smjer,Bachelor,5,2,0,0,Obavezni
Historija matematike,Nastavnički smjer (matematika I informatika),Master,3,2,0,0,Obavezni
Historija matematike,Nastavnički smjer (matematika),Master,3,2,0,0,Obavezni
Inkluzivno obrazovanje,Nastavnički smjer (matematika I informatika),Master,2,2,0,1,Obavezni
Inkluzivno obrazovanje,Nastavnički smjer (matematika),Master,2,2,0,1,Obavezni
Integralne transformacije sa primjenama,Nastavnički smjer (matematika I informatika),Master,3,3,0,2,Izborni
Integralne transformacije sa primjenama,Nastavnički smjer (matematika),Master,3,3,0,2,Izborni
Integralne transformacije sa primjenama,Opći smjer,Master,3,3,0,2,Izborni
Integralne transformacije sa primjenama,Primijenjena matematika,Master,3,3,0,2,Obavezni
Kombinatorika,Kompjuterske nauke,Bachelor,4,2,0,2,Izborni
Kombinatorika,Nastavnički smjer (matematika I informatika),Bachelor,4,2,0,2,Obavezni
Kombinatorika,Opći smjer,Bachelor,4,2,0,2,Obavezni
Kombinatorika,Primijenjena matematika,Bachelor,4,2,0,2,Izborni
Komparativna analiza programskih jezika,Kompjuterske nauke,Bachelor,6,3,2,0,Obavezni
Kompjuterska grafika,Kompjuterske nauke,Master,2,3,2,0,Obavezni
Kompjuterska vizija,Kompjuterske nauke,Master,3,3,2,0,Obavezni
Kompleksna analiza I,Nastavnički smjer (matematika I informatika),Bachelor,5,3,0,3,Obavezni
Kompleksna analiza I,Nastavnički smjer (matematika),Bachelor,5,3,0,3,Obavezni
Kompleksna analiza I,Opći smjer,Bachelor,5,3,0,3,Obavezni
Kompleksna analiza I,Primijenjena matematika,Bachelor,5,3,0,3,Obavezni
Kompleksna analiza II,Opći smjer,Bachelor,6,2,0,2,Obavezni
Linearna algebra,Kompjuterske nauke,Bachelor,2,3,0,2,Obavezni
Linearna algebra I,Nastavnički smjer (matematika I informatika),Bachelor,1,3,0,2,Obavezni
Linearna algebra I,Nastavnički smjer (matematika),Bachelor,1,3,0,2,Obavezni
Linearna algebra I,Opći smjer,Bachelor,1,3,0,2,Obavezni
Linearna algebra I,Primijenjena matematika,Bachelor,1,3,0,2,Obavezni
Linearna algebra II,Nastavnički smjer (matematika I informatika),Bachelor,2,3,0,2,Obavezni
Linearna algebra II,Nastavnički smjer (matematika),Bachelor,2,3,0,2,Obavezni
Linearna algebra II,Opći smjer,Bachelor,2,3,0,2,Obavezni
Linearna algebra II,Primijenjena matematika,Bachelor,2,3,0,2,Obavezni
Matematičke metode u obradi i analizi digitalnih slika,Kompjuterske nauke,Master,2,3,2,0,Obavezni
Mašinsko učenje,Kompjuterske nauke,Bachelor,6,2,2,0,Obavezni
Mašinsko učenje,Primijenjena matematika,Bachelor,6,2,2,0,Izborni
Metodika nastave informatike I,Nastavnički smjer (matematika I informatika),Bachelor,6,3,2,0,Obavezni
Metodika nastave matematike I,Nastavnički smjer (matematika I informatika),Bachelor,6,3,0,2,Obavezni
Metodika nastave matematike I,Nastavnički smjer (matematika),Bachelor,6,3,0,2,Obavezni
Metodika nastave matematike II,Nastavnički smjer (matematika I informatika),Master,1,2,0,2,Obavezni
Metodika nastave matematike II,Nastavnički smjer (matematika),Master,1,2,0,2,Obavezni
Metodika nastave matematike III,Nastavnički smjer (matematika I informatika),Master,2,2,0,2,Obavezni
Metodika nastave matematike III,Nastavnički smjer (matematika),Master,2,2,0,2,Obavezni
Metodička praksa iz informatike u osnovnoj školi,Nastavnički smjer (matematika I informatika),Master,2,1,2,0,Obavezni
Metodička praksa iz informatike u srednjoj školi,Nastavnički smjer (matematika I informatika),Master,2,1,3,0,Obavezni
Metodička praksa iz matematike u osnovnoj školi,Nastavnički smjer (matematika I informatika),Master,1,1,2,0,Obavezni
Metodička praksa iz matematike u osnovnoj školi,Nastavnički smjer (matematika),Master,1,1,2,0,Obavezni
Metodička praksa iz matematike u srednjoj školi,Nastavnički smjer (matematika I informatika),Master,1,1,2,0,Obavezni
Metodička praksa iz matematike u srednjoj školi,Nastavnički smjer (matematika),Master,1,1,2,0,Obavezni
Metodička praksa iz matematike u srednjoj školi II,Nastavnički smjer (matematika),Master,2,1,3,0,Obavezni
Metodologija istraživanja u nastavi,Nastavnički smjer (matematika I informatika),Master,3,2,1,0,Obavezni
Metodologija istraživanja u nastavi,Nastavnički smjer (matematika),Master,3,2,1,0,Obavezni
Nastava matematike za nadarene učenike,Nastavnički smjer (matematika),Bachelor,5,2,0,2,Obavezni
Nelinearna optimizacija,Primijenjena matematika,Master,1,3,0,2,Obavezni
Nelinearna optimizacija,Opći smjer,Master,3,3,0,2,Izborni
Numerička analiza,Opći smjer,Bachelor,4,2,2,0,Izborni
Numerička analiza,Primijenjena matematika,Bachelor,4,2,2,0,Obavezni
Numerička matematika,Kompjuterske nauke,Bachelor,3,2,2,0,Obavezni
Numerička matematika,Nastavnički smjer (matematika I informatika),Bachelor,3,2,2,0,Obavezni
Numerička matematika,Nastavnički smjer (matematika),Bachelor,3,2,2,0,Obavezni
Numerička matematika,Opći smjer,Bachelor,3,2,2,0,Obavezni
Numerička matematika,Primijenjena matematika,Bachelor,3,2,2,0,Obavezni
Odabrana poglavlja analize,Kompjuterske nauke,Bachelor,3,3,0,3,Obavezni
Odabrana poglavlja geometrije,Nastavnički smjer (matematika I informatika),Bachelor,6,2,0,2,Obavezni
Odabrana poglavlja geometrije,Nastavnički smjer (matematika),Bachelor,6,2,0,2,Obavezni
Odabrana poglavlja geometrije,Opći smjer,Bachelor,6,2,0,2,Izborni
Odabrana poglavlja iz pedagogije,Nastavnički smjer (matematika I informatika),Master,3,2,0,1,Obavezni
Odabrana poglavlja iz pedagogije,Nastavnički smjer (matematika),Master,3,2,0,1,Obavezni
Operaciona istraživanja,Kompjuterske nauke,Bachelor,5,3,0,2,Obavezni
Operaciona istraživanja,Primijenjena matematika,Bachelor,5,3,0,2,Obavezni
Operaciona istraživanja,Nastavnički smjer (matematika I informatika),Master,1,3,0,2,Izborni
Operaciona istraživanja,Nastavnički smjer (matematika),Master,1,3,0,2,Izborni
Operativni sistemi,Kompjuterske nauke,Bachelor,4,2,2,0,Obavezni
Paralelno računanje i optimizacija,Kompjuterske nauke,Master,1,3,2,0,Obavezni
Pedagogija,Nastavnički smjer (matematika I informatika),Bachelor,5,2,0,2,Obavezni
Pedagogija,Nastavnički smjer (matematika),Bachelor,5,2,0,2,Obavezni
Pedagoška psihologija,Nastavnički smjer (matematika I informatika),Bachelor,4,2,0,2,Obavezni
Pedagoška psihologija,Nastavnički smjer (matematika),Bachelor,4,2,0,2,Obavezni
Primjena računara u nastavi,Nastavnički smjer (matematika I informatika),Master,1,2,2,0,Obavezni
Primjena računara u nastavi,Nastavnički smjer (matematika),Master,1,2,2,0,Obavezni
Programiranje I,Kompjuterske nauke,Bachelor,1,2,2,2,Obavezni
Programiranje I,Nastavnički smjer (matematika I informatika),Bachelor,1,2,2,2,Obavezni
Programiranje I,Nastavnički smjer (matematika),Bachelor,1,2,2,2,Obavezni
Programiranje I,Opći smjer,Bachelor,1,2,2,2,Obavezni
Programiranje I,Primijenjena matematika,Bachelor,1,2,2,2,Obavezni
Programiranje II,Kompjuterske nauke,Bachelor,2,3,2,2,Obavezni
Programiranje II,Nastavnički smjer (matematika I informatika),Bachelor,2,3,2,2,Obavezni
Programiranje II,Primijenjena matematika,Bachelor,2,3,2,2,Obavezni
Računarske mreže,Kompjuterske nauke,Bachelor,4,2,2,0,Obavezni
Računarske mreže,Nastavnički smjer (matematika I informatika),Bachelor,4,2,2,0,Obavezni
Softverski inženjering,Kompjuterske nauke,Master,3,2,1,2,Obavezni
Statistika II,Primijenjena matematika,Bachelor,6,2,0,1,Obavezni
Stohastički procesi,Primijenjena matematika,Master,2,3,0,2,Obavezni
Strukture podataka i algoritmi,Kompjuterske nauke,Bachelor,3,3,2,2,Obavezni
Teorija brojeva,Nastavnički smjer (matematika),Bachelor,6,2,0,2,Obavezni
Teorija grafova,Kompjuterske nauke,Bachelor,6,3,0,2,Obavezni
Teorija grafova,Opći smjer,Bachelor,6,3,0,2,Izborni
Teorija grafova,Primijenjena matematika,Bachelor,6,3,0,2,Obavezni
Teorija grafova,Nastavnički smjer (matematika I informatika),Master,2,3,0,2,Izborni
Teorija grafova,Nastavnički smjer (matematika),Master,2,3,0,2,Izborni
Teorija izračunljivosti,Kompjuterske nauke,Bachelor,4,3,0,2,Obavezni
Teorija izračunljivosti,Opći smjer,Bachelor,4,3,0,2,Izborni
Teorija izračunljivosti,Nastavnički smjer (matematika I informatika),Bachelor,6,3,0,2,Izborni
Teorija izračunljivosti,Nastavnički smjer (matematika),Bachelor,6,3,0,2,Izborni
Teorija kodiranja i informacija,Kompjuterske nauke,Master,1,3,0,2,Obavezni
Teorija kodiranja i informacija,Nastavnički smjer (matematika I informatika),Master,3,3,0,2,Izborni
Teorija kodiranja i informacija,Nastavnički smjer (matematika),Master,3,3,0,2,Izborni
Teorija kodiranja i informacija,Opći smjer,Master,3,3,0,2,Izborni
Teorija kodiranja i informacija,Primijenjena matematika,Master,3,3,0,2,Izborni
Teorija mjere i integracije,Opći smjer,Bachelor,6,3,0,2,Obavezni
Teorija mjere i integracije,Primijenjena matematika,Bachelor,6,3,0,2,Obavezni
Teorija mjere i integracije,Nastavnički smjer (matematika I informatika),Master,2,3,0,2,Izborni
Teorija mjere i integracije,Nastavnički smjer (matematika),Master,2,3,0,2,Obavezni
Teorija skupova,Nastavnički smjer (matematika I informatika),Bachelor,3,2,0,2,Obavezni
Teorija skupova,Nastavnički smjer (matematika),Bachelor,3,2,0,2,Obavezni
Teorija skupova,Opći smjer,Bachelor,3,2,0,2,Obavezni
Teorija skupova,Primijenjena matematika,Bachelor,3,2,0,2,Obavezni
Teorija vjerovatnoće,Kompjuterske nauke,Bachelor,3,2,0,2,Obavezni
Teorija vjerovatnoće,Nastavnički smjer (matematika I informatika),Bachelor,3,2,0,2,Obavezni
Teorija vjerovatnoće,Nastavnički smjer (matematika),Bachelor,3,2,0,2,Obavezni
Teorija vjerovatnoće,Opći smjer,Bachelor,3,2,0,2,Obavezni
Teorija vjerovatnoće,Primijenjena matematika,Bachelor,3,2,0,2,Obavezni
Topologija,Nastavnički smjer (matematika),Bachelor,4,2,0,2,Obavezni
Topologija,Opći smjer,Bachelor,4,2,0,2,Obavezni
Topologija,Primijenjena matematika,Bachelor,4,2,0,2,Obavezni
Uvod u diferencijalnu geometriju,Nastavnički smjer (matematika I informatika),Bachelor,6,2,0,2,Izborni
Uvod u diferencijalnu geometriju,Nastavnički smjer (matematika),Bachelor,6,2,0,2,Obavezni
Uvod u diferencijalnu geometriju,Opći smjer,Bachelor,6,2,0,2,Obavezni
Uvod u funkcionalnu analizu,Opći smjer,Bachelor,6,2,0,2,Obavezni
Uvod u funkcionalnu analizu,Primijenjena matematika,Bachelor,6,2,0,2,Obavezni
Uvod u funkcionalnu analizu,Nastavnički smjer (matematika I informatika),Master,2,2,0,2,Izborni
Uvod u funkcionalnu analizu,Nastavnički smjer (matematika),Master,2,2,0,2,Obavezni
Uvod u kompjutersku geometriju,Kompjuterske nauke,Bachelor,6,2,2,0,Obavezni
Uvod u kompjutersku geometriju,Nastavnički smjer (matematika I informatika),Master,2,2,2,0,Izborni
Uvod u kompjutersku geometriju,Nastavnički smjer (matematika),Master,2,2,2,0,Izborni
