dogadjaj_id,predmet,tip,trajanje_sati,trajanje_minuta,nastavnik,smjerovi,ciklus,semestar,godina,broj_studenata,treba_lab,grupa
D0001,Aktuarska matematika,AV,2,120,Senada Kalabušić,Primijenjena matematika,Bachelor,5,III godina,5,0,G1
D0002,Aktuarska matematika,P,2,120,Senada Kalabušić,Primijenjena matematika,Bachelor,5,III godina,5,0,G1
D0003,Algebarski računarski paketi,LV,2,120,Emin Bešo,Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,20,1,G1
D0004,Algebarski računarski paketi,P,2,120,Emin Bešo,Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,20,0,G1
D0005,Algebra I,AV,3,180,Aleksandar Balašev-Samarski,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,22,0,G1
D0006,Algebra I,P,3,180,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,22,0,G1
D0007,Algebra II,AV,3,180,Aleksandar Balašev-Samarski,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,17,0,G1
D0008,Algebra II,P,3,180,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,17,0,G1
D0009,Algebra za kompjuterske nauke,AV,2,120,Vedad Letić,Kompjuterske nauke,Bachelor,4,II godina,40,0,G1
D0010,Algebra za kompjuterske nauke,P,3,180,Amela Muratović-Ribić,Kompjuterske nauke,Bachelor,4,II godina,40,0,G1
D0011,Analitička geometrija,AV,2,120,Ines Alagić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0012,Analitička geometrija,P,2,120,Almasa Odžak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0013,Analiza I,AV,2,120,Džana Drino,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0014,Analiza I,AV,2,120,Džana Drino,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0015,Analiza I,P,2,120,Dženan Gušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0016,Analiza I,P,2,120,Dženan Gušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,150,0,G1
D0017,Analiza II,AV,2,120,Mirza Čvorak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0018,Analiza II,AV,2,120,Mirza Čvorak,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0019,Analiza II,P,2,120,Nacima Memić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0020,Analiza II,P,2,120,Nacima Memić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,2,I godina,150,0,G1
D0021,Analiza III,AV,3,180,Medina Zubača,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,27,0,G1
D0022,Analiza III,P,2,120,Almasa Odžak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,27,0,G1
D0023,Analiza III,P,2,120,Almasa Odžak,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,27,0,G1
D0024,Analiza IV,AV,3,180,Nacima Memić,Opći smjer,Bachelor,5,III godina,4,0,G1
