dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0091,Linearna algebra,AV,Aleksandar Balašev-Samarski,Kompjuterske nauke,Bachelor,2,I godina,G1,105,ABG,PONEDJELJAK,08:00,10:00,2
D0230,Uvod u matematiku,P,Dženan Gušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,UTORAK,08:00,11:00,3
D0174,Programiranje II,P,Adis Alihodžić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Primijenjena matematika,Bachelor,2,I godina,G1,130,ABG,SRIJEDA,08:00,11:00,3
D0092,Linearna algebra,P,Amil Pečenković,Kompjuterske nauke,Bachelor,2,I godina,G1,105,ABG,PETAK,08:00,11:00,3
D0186,Statistika I,LV,Aleksandar Balašev-Samarski,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,67,VRC,PONEDJELJAK,10:00,13:00,3
D0229,Uvod u matematiku,AV,Daniela Zubović,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,UTORAK,11:00,13:00,2
D0167,Programiranje I,AV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,UTORAK,13:00,15:00,2
D0014,Analiza I,AV,Džana Drino,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,PONEDJELJAK,10:00,12:00,2
D0016,Analiza I,P,Dženan Gušić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,CETVRTAK,09:00,11:00,2
D0170,Programiranje I,P,Elmedin Selmanović,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,1,I godina,G1,150,ABG,PONEDJELJAK,12:00,14:00,2
