algoritam,run_id,seed,najbolji_fitness,vrijeme_sekundi,broj_hard_gresaka,broj_iteracija_ili_ciklusa,broj_izvora,limit
SA,1,1001,15935,31.453,0,600,,
SA,2,1002,15775,25.221,0,600,,
SA,3,1003,16365,29.283,0,600,,
SA,4,1004,16500,24.988,0,600,,
SA,5,1005,16335,25.394,0,600,,
SA,6,1006,16735,25.196,0,600,,
SA,7,1007,16865,29.415,0,600,,
SA,8,1008,16535,25.442,0,600,,
SA,9,1009,16320,26.593,0,600,,
SA,10,1010,15670,25.568,0,600,,
SA,11,1011,16765,25.58,0,600,,
SA,12,1012,15940,25.342,0,600,,
SA,13,1013,15590,26.519,0,600,,
SA,14,1014,16705,25.121,0,600,,
SA,15,1015,16010,38.065,0,600,,
SA,16,1016,16420,25.917,0,600,,
SA,17,1017,16205,25.195,0,600,,
SA,18,1018,16290,31.883,0,600,,
SA,19,1019,16610,25.103,0,600,,
SA,20,1020,17025,25.818,0,600,,
SA,21,1021,17215,25.074,0,600,,
SA,22,1022,15830,31.148,0,600,,
SA,23,1023,15895,25.127,0,600,,
SA,24,1024,16455,25.111,0,600,,
SA,25,1025,16350,25.556,0,600,,
SA,26,1026,16470,25.058,0,600,,
SA,27,1027,17170,25.563,0,600,,
SA,28,1028,16330,33.086,0,600,,
SA,29,1029,15995,25.154,0,600,,
SA,30,1030,16195,32.138,0,600,,
ABC,1,2001,17240,23.915,0,70,4,15
ABC,2,2002,17295,24.056,0,70,4,15
ABC,3,2003,17220,24.138,0,70,4,15
ABC,4,2004,16905,23.4,0,70,4,15
ABC,5,2005,17250,24.237,0,70,4,15
ABC,6,2006,17255,24.019,0,70,4,15
ABC,7,2007,17235,31.646,0,70,4,15
ABC,8,2008,17090,23.8,0,70,4,15
ABC,9,2009,17020,24.682,0,70,4,15
ABC,10,2010,17195,23.604,0,70,4,15
ABC,11,2011,17240,23.961,0,70,4,15
ABC,12,2012,17270,24.031,0,70,4,15
ABC,13,2013,17105,29.242,0,70,4,15
ABC,14,2014,17000,24.99,0,70,4,15
ABC,15,2015,16825,31.546,0,70,4,15
ABC,16,2016,17020,23.686,0,70,4,15
ABC,17,2017,17410,23.929,0,70,4,15
ABC,18,2018,17340,23.748,0,70,4,15
ABC,19,2019,16875,23.694,0,70,4,15
ABC,20,2020,17225,23.681,0,70,4,15
ABC,21,2021,17235,24.889,0,70,4,15
ABC,22,2022,17360,31.434,0,70,4,15
ABC,23,2023,17220,24.046,0,70,4,15
ABC,24,2024,16915,25.111,0,70,4,15
ABC,25,2025,16980,25.468,0,70,4,15
ABC,26,2026,17500,25.314,0,70,4,15
ABC,27,2027,17505,25.553,0,70,4,15
ABC,28,2028,16930,25.278,0,70,4,15
ABC,29,2029,16995,25.295,0,70,4,15
ABC,30,2030,17370,25.04,0,70,4,15
