smjer,ciklus,godina,broj_studenata
Opći smjer,Bachelor,I godina,8
Opći smjer,Bachelor,II godina,5
Opći smjer,Bachelor,III godina,4
Opći smjer,Master,I godina,6
Opći smjer,Master,II godina,3
Primijenjena matematika,Bachelor,I godina,13
Primijenjena matematika,Bachelor,II godina,6
Primijenjena matematika,Bachelor,III godina,5
Primijenjena matematika,Master,I godina,8
Primijenjena matematika,Master,II godina,4
Nastavnički smjer (matematika i informatika),Bachelor,I godina,12
Nastavnički smjer (matematika i informatika),Bachelor,II godina,7
Nastavnički smjer (matematika i informatika),Bachelor,III godina,6
Nastavnički smjer (matematika i informatika),Master,I godina,8
Nastavnički smjer (matematika i informatika),Master,II godina,4
Nastavnički smjer (matematika),Bachelor,I godina,12
Nastavnički smjer (matematika),Bachelor,II godina,9
Nastavnički smjer (matematika),Bachelor,III godina,7
Nastavnički smjer (matematika),Master,I godina,11
Nastavnički smjer (matematika),Master,II godina,6
Kompjuterske nauke,Bachelor,I godina,105
Kompjuterske nauke,Bachelor,II godina,40
Kompjuterske nauke,Bachelor,III godina,20
Kompjuterske nauke,Master,I godina,15
Kompjuterske nauke,Master,II godina,8
