termin_id,dan,pocetak,kraj,trajanje_minuta,slot
T001,PONEDJELJAK,08:00,09:00,60,1
T002,PONEDJELJAK,09:00,10:00,60,2
T003,PONEDJELJAK,10:00,11:00,60,3
T004,PONEDJELJAK,11:00,12:00,60,4
T005,PONEDJELJAK,12:00,13:00,60,5
T006,PONEDJELJAK,13:00,14:00,60,6
T007,PONEDJELJAK,14:00,15:00,60,7
T008,PONEDJELJAK,15:00,16:00,60,8
T009,PONEDJELJAK,16:00,17:00,60,9
T010,PONEDJELJAK,17:00,18:00,60,10
T011,PONEDJELJAK,18:00,19:00,60,11
T013,UTORAK,08:00,09:00,60,1
T014,UTORAK,09:00,10:00,60,2
T015,UTORAK,10:00,11:00,60,3
T016,UTORAK,11:00,12:00,60,4
T017,UTORAK,12:00,13:00,60,5
T018,UTORAK,13:00,14:00,60,6
T019,UTORAK,14:00,15:00,60,7
T020,UTORAK,15:00,16:00,60,8
T021,UTORAK,16:00,17:00,60,9
T022,UTORAK,17:00,18:00,60,10
T023,UTORAK,18:00,19:00,60,11
T025,SRIJEDA,08:00,09:00,60,1
T026,SRIJEDA,09:00,10:00,60,2
T027,SRIJEDA,10:00,11:00,60,3
T028,SRIJEDA,11:00,12:00,60,4
T029,SRIJEDA,12:00,13:00,60,5
T030,SRIJEDA,13:00,14:00,60,6
T031,SRIJEDA,14:00,15:00,60,7
T032,SRIJEDA,15:00,16:00,60,8
T033,SRIJEDA,16:00,17:00,60,9
T034,SRIJEDA,17:00,18:00,60,10
T035,SRIJEDA,18:00,19:00,60,11
T037,CETVRTAK,08:00,09:00,60,1
T038,CETVRTAK,09:00,10:00,60,2
T039,CETVRTAK,10:00,11:00,60,3
T040,CETVRTAK,11:00,12:00,60,4
T041,CETVRTAK,12:00,13:00,60,5
T042,CETVRTAK,13:00,14:00,60,6
T043,CETVRTAK,14:00,15:00,60,7
T044,CETVRTAK,15:00,16:00,60,8
T045,CETVRTAK,16:00,17:00,60,9
T046,CETVRTAK,17:00,18:00,60,10
T047,CETVRTAK,18:00,19:00,60,11
T049,PETAK,08:00,09:00,60,1
T050,PETAK,09:00,10:00,60,2
T051,PETAK,10:00,11:00,60,3
T052,PETAK,11:00,12:00,60,4
T053,PETAK,12:00,13:00,60,5
T054,PETAK,13:00,14:00,60,6
T055,PETAK,14:00,15:00,60,7
T056,PETAK,15:00,16:00,60,8
T057,PETAK,16:00,17:00,60,9
T058,PETAK,17:00,18:00,60,10
T059,PETAK,18:00,19:00,60,11
