smjer,ciklus,godina,semestar,grupe,pdf
Kompjuterske nauke,Bachelor,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Bachelor,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Bachelor,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Bachelor,II godina,4,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Bachelor,III godina,5,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Bachelor,III godina,6,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Master,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Master,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Kompjuterske nauke,Master,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Bachelor,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Bachelor,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Bachelor,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Bachelor,II godina,4,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Bachelor,III godina,5,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Bachelor,III godina,6,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Master,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Master,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika i informatika),Master,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Bachelor,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Bachelor,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Bachelor,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Bachelor,II godina,4,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Bachelor,III godina,5,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Bachelor,III godina,6,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Master,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Master,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Nastavnički smjer (matematika),Master,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Bachelor,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Bachelor,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Bachelor,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Bachelor,II godina,4,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Bachelor,III godina,5,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Bachelor,III godina,6,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Master,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Opći smjer,Master,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Primijenjena matematika,Bachelor,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Primijenjena matematika,Bachelor,I godina,2,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Primijenjena matematika,Bachelor,II godina,3,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Primijenjena matematika,Bachelor,II godina,4,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Primijenjena matematika,Bachelor,III godina,5,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Primijenjena matematika,Bachelor,III godina,6,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
Primijenjena matematika,Master,I godina,1,G1 i G2,C:\Users\Tamir\PycharmProjects\raspored-ai-projekat\output\rasporedi\svi_rasporedi.pdf
